"","betaCatenin","CD11b","CD11c","CD138","CD16","CD20","CD209","CD3","CD31","CD4","CD45","CD45RO","CD56","CD63","CD68","CD8","dsDNA","EGFR","FoxP3","H3K27me3","H3K9ac","HLA_Class_1","HLADR","IDO","Keratin17","Keratin6","Ki67","Lag3","MPO","p53","panKeratin","PD1","PDL1","pS6","SMA","Vimentin","mm","centroidX","centroidY"
"Cell_1473",0.069740839,0,0.027768895,0,0,0.598725617,0,0.179345757,0,0.134091645,0.660538793,0.286147028,0,0,0.052412596,0,0.766061366,0,0,0.78512013,0.634952724,0.419389904,0.755308151,0,0,0,0,0,0,0,0,0,0,0.458618134,0,0.467780024,"B",1462.991943,275.78479
"Cell_1474",0.004810415,0,0.020541966,0,0.005384722,0.556553006,0,0.05206392,0,0.029596714,0.456884205,0.095544547,0,0,0.0113308,0,0.710863233,0,0,0.688824713,0.470282257,0.636593461,0.761169493,0.048009451,0,0.002517654,0.222999707,0,0,0,0,0.007786377,0,0.736668408,0,0.181182072,"B",1959.805054,278.8085022
"Cell_1475",0,0,0.153000817,0,0,0.570697129,0,0.282651097,0,0.004091691,0.632911503,0.297054023,0,0.446022928,0,0.088257961,0.80747509,0,0,0.948825598,0.702605069,0.30481571,0.836535811,0,0,0,0,0.004574046,0,0,0,0,0,0.620469093,0,0.471329182,"B",2035.833008,279.6824036
"Cell_1476",0.127467424,0,0.015989099,0,0,0.722869813,0,0,0,0.03454569,0.5098086,0.103093825,0,0,0.033008926,0.007852357,0.689287186,0,0,0.816975653,0.504316032,0.574650586,0.775198698,0,0,0,0.325129986,0,0,0,0,0,0,0.538462758,0.004614861,0.620351017,"B",1759.964966,285.7945862
"Cell_1477",0,0,0.005855564,0,0,0.283183515,0,0.122014329,0,0.133961812,0.535808563,0.085886694,0,0,0.110500827,0,0.708310246,0,0.011776816,0.647340536,0.584568501,0.18784973,0.624892473,0,0,0,0,0,0,0,0,0,0,0.32592538,0,0.679141998,"B",1449.260986,287.09729
"Cell_1478",0,0,0,0,0,0.753121495,0,0.084406599,0,0.034861322,0.465824336,0.080153294,0,0,0,0.003169906,0.739688158,0,0,0.862399936,0.693048596,0.467155665,0.654201508,0,0,0,0,0,0,0,0,0,0,0.548536658,0,0.519686103,"B",1703.909058,287.1767883
"Cell_1479",0.012120517,0,0,0,0,0.281502306,0,0,0,0.167119756,0.361132383,0,0,0,0.06919495,0,0.7289204,0,0,0.789355218,0.77998209,0.233163431,0.657926857,0,0,0,0,0,0,0,0,0,0,0.465076476,0.051442783,0.753471792,"B",1729.130005,288.1564941
"Cell_1480",0,0,0.019893741,0,0,0.900678754,0,0.069468938,0,0.033435643,0.69600898,0.270614952,0,0.02185568,0.004572994,0.170050427,0.591320276,0,0,0.717137933,0.518097699,0.483681798,0.928350806,0,0,0,0,0,0,0,0,0,0,0.517560422,0,0.599443793,"B",1780.53894,287.5815125
"Cell_1481",0.029758034,0.25795871,0.061999559,0,0,0.438309312,0,0.330011129,0,0.105429024,0.49568975,0.247615531,0,0.180722162,0.682090044,0.006664601,0.70545435,0.047884285,0,0.683749557,0.751913786,0.817372143,0.756044865,0.52155143,0,0,0,0,0,0,0,0,0,0.384603977,0,0.741724432,"B",1881.339966,290.0469971
"Cell_1482",0,0.015822265,0.226873726,0,0.010223249,0.602809191,0,0.080802061,0,0.148513407,0.691172183,0.300964743,0,0,0.049095109,0.153175786,0.728304982,0,0,0.792666256,0.705273092,0.513316214,0.667309344,0,0,0,0,0,0.153176799,0,0,0,0,0.497498125,0,0.482613921,"B",1381.807983,293.2210999
"Cell_1483",0,0.060834926,0.802646577,0,0,0.519514203,0,0.496517986,0,0.415107846,0.72231555,0.565748096,0,0,0.229579285,0.048158061,0.763655365,0.023155255,0,0.802548647,0.831528962,0.398480475,0.761535525,0,0,0,0,0,0,0,0,0,0,0.517913103,0,0.549411774,"B",1834.126953,297.3872986
"Cell_1484",0,0,0.357780904,0,0.056634452,0.757386088,0,0.186588928,0,0.166836292,0.706451714,0.284257025,0,0,0.179154962,0,0.741379321,0,0,0.923306048,0.760225058,0.212406397,0.758272827,0,0,0,0,0,0,0,0,0,0,0.63478148,0,0.302711874,"B",1607.819946,300.916687
"Cell_1485",0.283643246,0,0.254128069,0,0,0.450225145,0,0.083286218,0,0.01019603,0.583234966,0.251862258,0,0,0.053383358,0.274968684,0.640304625,0,0,0.467329711,0.486744344,0.173344612,0.857942343,0,0,0,0,0,0,0,0,0,0,0.215291113,0,0.881216943,"B",1768.973022,303.3154907
"Cell_1486",0,0,0,0,0,0.924642801,0,0.265198886,0,0,0.675575078,0.231218755,0,0,0,0.018278191,0.781471729,0,0,0.929175556,0.825326264,0.429633409,0.74928242,0,0,0,0,0,0,0,0,0,0,0.655309677,0,0.560920238,"B",1695.749023,308.8240967
"Cell_1487",0,0,0,0,0,0.505067885,0,0.109440178,0,0,0.44598794,0.018769488,0,0,0,0,0.78628093,0,0,0.823266089,0.787306249,0.23884508,0.637570858,0,0,0,0,0,0,0,0,0,0,0.499980807,0,0.627144694,"B",1716.676025,308.3985901
