Reference Year,GHGRP ID No.,Facility Province or Territory,CO2 tonnes,CH4 tonnes,N2O tonnes,SF6 tonnes,HFC Total tonnes CO2e,PFC Total tonnes CO2e
2022,G10330,Quebec,21445.545,0.463,0.389,0.0,0.0,0.0
2022,G10332,Ontario,0.0,577.2895,0.01895,0.0,0.0,0.0
2022,G10334,New Brunswick,105319.7,1.673939,1.65841,0.0,0.0,0.0
2022,G10337,Ontario,0.0,6764.857,0.0,0.0,0.0,0.0
2022,G10338,Saskatchewan,48263.15974,6.06293,0.83522,0.0,0.0,0.0
2022,G10341,Alberta,96946.2522,7.0041,1.8894,0.0,0.0,0.0
2022,G10342,British Columbia,203135.8056,128.4151,20.5249,0.0,906.5293,0.0
2022,G10343,Ontario,0.0,15222.454,0.0,0.0,0.0,0.0
2022,G10344,Quebec,2621.54,5744.9587,0.0264,0.0,0.0,0.0
2022,G10346,British Columbia,67049.45585,5760.653476,1.707386,0.0,0.0,0.0
2022,G10348,Ontario,2184.391,1604.437,0.483575,0.0,0.0,0.0
2022,G10349,Alberta,41121.4225,3.9679,0.7931,0.0,0.0,0.0
2022,G10350,Newfoundland and Labrador,109187.3086,4.4833,6.1024,0.0,0.0,0.0
2022,G10351,Ontario,61962.51528,1.213207,1.042074,0.0,0.0,0.0
2022,G10353,Saskatchewan,46223.27088,38.88666,0.53606,0.0,0.0,0.0
2022,G10354,Newfoundland and Labrador,296599.8735,663.0788,6.4363,0.0,0.0,0.0
2022,G10355,New Brunswick,113338.1,22.3812,11.536,0.0,0.0,0.0
2022,G10356,Alberta,210396.2282,16.60686,4.16596,0.0,0.0,0.0
2022,G10357,Quebec,62012.7497,1.5108,1.3474,0.0,0.0,0.0
2022,G10358,Ontario,0.0,3046.1048,0.2598,0.0,0.0,0.0
2022,G10359,Alberta,52882.015,1014.93619,4.0732,0.0,0.0,0.0
2022,G10360,Ontario,519402.28,4.15255,3.6939,0.0,0.0,0.0
2022,G10361,Alberta,1234146.904,6.0,3.348,0.0,0.0,0.0
2022,G10364,Ontario,0.0,3937.031,0.0,0.0,0.0,0.0
2022,G10365,Ontario,1020.045,11517.63193,0.009887,0.0,0.0,0.0
2022,G10366,Ontario,65126.642,1.2424,1.1598,0.0,0.0,0.0
2022,G10368,Alberta,20509.946,128.526,3.68,0.0,0.0,0.0
2022,G10369,Quebec,90142.76,1.033,0.92314,0.0,0.0,0.0
2022,G10370,Quebec,580.92,0.0138,0.002,0.0,141608.6516,0.0
2022,G10371,Alberta,85908.0362,35.18263,3.75782,0.0,0.0,0.0
2022,G10373,Ontario,70332.75,1.066,0.948,0.0,0.0,0.0
2022,G10375,Alberta,26928.23013,9.676345,2.05215,0.0,0.0,0.0
2022,G10376,Ontario,0.0,6824.51887,0.0,0.0,0.0,0.0
2022,G10379,Ontario,0.0,481.745,0.0,0.0,0.0,0.0
2022,G10380,Alberta,235345.3022,50.4493,6.0449,0.0,0.0,0.0
2022,G10381,Northwest Territories,194021.692,5.572,1.447,0.0,0.0,0.0
2022,G10385,British Columbia,161678.5689,7.4699,21.6529,0.0,0.0,0.0
2022,G10386,New Brunswick,90581.0188,147.354157,15.068712,0.0,0.0,0.0
2022,G10388,British Columbia,128730.2753,4835.6949,14.9813,0.0,0.0,0.0
2022,G10389,Saskatchewan,31595.96731,0.98174,0.57923,0.0,0.0,0.0
2022,G10390,Alberta,1846183.887,183.57013,34.42724,0.0,0.0,0.0
2022,G10394,Alberta,861235.6454,112.38128,4.28137,0.0,0.0,0.0
2022,G10398,Ontario,117799.2112,0.8628,0.4318,0.0,0.0,0.0
2022,G10399,British Columbia,96878.4035,1540.5753,14.46953,0.0,0.0,0.0
2022,G10400,British Columbia,91079.4905,946.654,13.65139,0.0,0.0,0.0
2022,G10401,Quebec,12050.67,1298.7,2.89,0.0,0.0,0.0
2022,G10402,Alberta,4387.0065,0.1826,0.2288,0.0,0.0,0.0
2022,G10404,Ontario,7578.72,7.5918,45.5631,0.0,0.0,0.0
2022,G10406,Alberta,216408.9562,103.9558,1.2211,0.0,0.0,0.0
2022,G10407,Ontario,544888.5505,140.9081,14.0984,0.0,0.0,0.0
2022,G10408,Alberta,4954195.568,20347.58221,86.042707,0.0,3641.904,0.663
2022,G10411,Manitoba,77755.7279,3.543565,1.343436,0.0,0.0,0.0
2022,G10412,Alberta,562971.9498,53.57745,2.76255,0.0,0.0,0.0
2022,G10413,Ontario,604697.215,157.387489,15.738954,0.0,0.0,0.0
2022,G10414,Alberta,3043836.646,201.00295,15.76295,0.0,0.0,0.0
2022,G10415,Ontario,30899.3668,0.600484,0.53295,0.0,0.0,0.0
2022,G10416,Ontario,83497.5082,1.7093,1.4657,0.0,0.0,0.0
2022,G10417,Alberta,41174.21804,332.83056,0.9912,0.0,0.0,0.0
2022,G10419,Saskatchewan,54469.837,1.6199,0.8927,0.0,0.0,0.0
2022,G10420,Alberta,87761.21921,1.306625,1.12194,0.0,0.0,0.0
2022,G10421,Alberta,180385.7011,0.8949,0.7765,0.0,0.0,0.0
2022,G10423,Ontario,49614.8779,0.95367,0.84941,0.0,0.0,0.0
2022,G10426,British Columbia,9816.6652,0.20154,0.2276,0.0,0.0,0.0
2022,G10427,Ontario,78390.0634,1.7611,1.3808,0.0,0.0,0.0
2022,G10428,Alberta,46886.67,393.89,8.06,0.0,0.0,0.0
2022,G10429,Alberta,77607.982,392.94,7.18,0.0,0.0,0.0
2022,G10430,British Columbia,78048.71,306.31,2.0,0.0,0.0,0.0
2022,G10431,Alberta,18303.612,188.784,4.54,0.0,0.0,0.0
2022,G10432,Ontario,44529.0532,11.484516,1.152849,0.0,0.0,0.0
2022,G10433,British Columbia,1153.7126,2461.5803,0.19742,0.0,0.0,0.0
2022,G10434,Ontario,59319.02,1.18445,0.99773,0.0,20.802632,0.0
2022,G10435,Alberta,43968.2301,1158.4907,0.93414,0.0,0.0,0.0
2022,G10436,Alberta,11627.16703,74.30125,2.43361,0.0,0.0,0.0
2022,G10437,Alberta,13041.23137,44.81246,3.58373,0.0,0.0,0.0
2022,G10438,Alberta,43251.71027,30.92844,0.91487,0.0,0.0,0.0
2022,G10439,British Columbia,26839.0,0.515,0.474,0.0,0.0,0.0
2022,G10440,British Columbia,62232.86816,0.4169,0.385,0.0,0.0,0.0
2022,G10441,Alberta,740.47,3448.52,2.2,0.0,0.0,0.0
2022,G10442,Saskatchewan,395.691138,3876.848918,0.093337,0.0,0.0,0.0
2022,G10443,British Columbia,2996.7674,8121.9226,0.5292,0.0,0.0,0.0
2022,G10444,Manitoba,0.0,1471.38,0.0,0.0,0.0,0.0
2022,G10446,Alberta,36390.4355,161.4198,0.9172,0.0,0.0,0.0
2022,G10447,British Columbia,27061.2785,534.07182,0.79542,0.0,0.0,0.0
2022,G10451,Alberta,27303.054,130.666,6.99,0.0,0.0,0.0
2022,G10452,Quebec,107970.45,351.553,28.6899,0.0,12.558,0.0
2022,G10453,Ontario,8746.9935,2.481041,0.226106,0.00183,0.0,0.0
2022,G10454,British Columbia,9428.4992,36.5362,0.3006,0.0,0.0,0.0
2022,G10455,Alberta,160094.2261,1581.9254,69.0483,0.0,0.0,0.0
2022,G10456,Alberta,88638.10436,125.58023,0.800321,0.0,0.0,0.0
2022,G10457,British Columbia,81882.4781,246.9689,1.9897,0.0,0.0,0.0
