"","betaCatenin","CD11b","CD11c","CD138","CD16","CD20","CD209","CD3","CD31","CD4","CD45","CD45RO","CD56","CD63","CD68","CD8","dsDNA","EGFR","FoxP3","H3K27me3","H3K9ac","HLA_Class_1","HLADR","IDO","Keratin17","Keratin6","Ki67","Lag3","MPO","p53","panKeratin","PD1","PDL1","pS6","SMA","Vimentin","centroidX","centroidY"
"Cell_446",0,0,0,0,0,0.757609963,0,0,0,0,0.475806355,0,0,0,0,0,0.702844322,0,0,0.736376226,0.60350132,0.331323832,0.596452117,0,0,0.047870908,0,0,0,0,0,0,0,0.383848935,0,0,794.7012939,1838.235962
"Cell_447",0,0,0,0,0,0.713936985,0,0,0,0,0.675584376,0.169713631,0,0,0,0,0.751585603,0,0,0.834039867,0.706475019,0.414705336,0.452621996,0,0,0,0,0,0,0,0,0,0,0.438761622,0,0,1206.508057,1838.410034
"Cell_448",0,0,0,0,0,0.688124835,0,0.031890951,0,0.040009219,0.579898238,0.075072736,0,0,0,0,0.714531362,0,0,0.734386027,0.575931847,0.306742042,0.515634239,0,0,0,0,0,0,0,0,0,0.10066089,0.384474635,0,0,1037.192017,1839.020996
"Cell_449",0,0,0,0.079832159,0,0.666588187,0,0,0,0,0.388775498,0.05300511,0,0,0,0,0.773606181,0,0,0.842459321,0.580702484,0.248868227,0.559950829,0,0,0.018701931,0,0,0,0,0.006277178,0,0,0.470598251,0,0,697.0172729,1839.73999
"Cell_450",0,0,0,0,0,0.751084268,0,0,0,0,0.525324643,0.016625237,0,0,0,0,0.707489491,0,0,0.754776239,0.650197864,0.418736666,0.63044697,0,0,0,0,0,0,0,0,0,0,0.38351813,0,0,1163.567017,1839.855957
"Cell_451",0,0,0,0,0,0.740401506,0,0,0,0,0.482903957,0,0,0,0,0,0.768345237,0,0,0.730541646,0.526464939,0.412307978,0.618300021,0,0,0,0,0,0,0,0,0,0,0.384090662,0,0,992.3322754,1840.05896
"Cell_452",0,0,0,0,0,0.78951031,0,0,0,0,0.625139177,0.002999109,0,0,0,0,0.746356785,0,0,0.73458457,0.622367918,0.494615883,0.522405624,0,0,0,0,0,0,0,0,0,0,0.408677757,0,0,1283.067993,1840.793945
"Cell_453",0,0,0,0,0,0.557671428,0,0.115628675,0,0.026622411,0.556703329,0.261624932,0,0,0,0.020318149,0.79225719,0,0,0.870849609,0.733726501,0.138229892,0.443137348,0,0,0,0,0,0,0,0,0,0,0.505546987,0,0,1493.85498,1841.045044
"Cell_454",0,0,0,0,0,0.667062104,0,0.033166334,0,0,0.581649423,0.246230036,0,0,0,0,0.706127763,0,0,0.77194649,0.678657949,0.461059302,0.502723217,0,0,0,0,0,0,0,0,0,0,0.389664263,0,0,1178.88501,1846.30603
"Cell_455",0,0,0,0,0,0.596328497,0,0.076548807,0,0.060120072,0.538678944,0.284918517,0,0,0,0,0.731687844,0,0,0.72715652,0.623478055,0.395766169,0.510857105,0,0,0,0,0,0,0,0,0,0,0.35487923,0,0,1243.902954,1845.666992
"Cell_456",0,0,0,0,0,0.754092932,0,0,0,0,0.538977444,0.023408782,0,0.134047225,0,0,0.790322721,0,0,0.708131075,0.563101888,0.476666003,0.51595521,0,0,0.005495858,0,0,0,0,0,0,0,0.340937495,0,0,1344.619995,1845.88501
"Cell_457",0,0,0,0,0,0.805417478,0,0,0,0,0.627082229,0,0,0,0,0,0.698397577,0,0,0.696647227,0.580735803,0.449752092,0.507565558,0,0,0,0,0,0,0,0,0,0,0.388715714,0,0,912.2930908,1846.550049
"Cell_458",0,0,0,0,0,0.743406236,0,0,0,0,0.407134086,0.161896616,0,0,0,0,0.756147146,0,0,0.777110279,0.667964637,0.319338977,0.593971133,0,0,0,0,0,0,0,0,0,0,0.445629835,0,0,1023.213013,1847.44397
"Cell_459",0,0,0,0,0,0.822417259,0,0,0,0,0.64010638,0.014156555,0,0,0,0,0.787537158,0,0,0.699253619,0.49227798,0.453405589,0.642388165,0,0,0,0,0,0,0,0,0,0,0.374988586,0,0,1097.589966,1846.16394
"Cell_460",0,0,0,0,0,0.679991066,0,0,0,0,0.749630034,0.479144156,0,0,0,0,0.66817683,0,0,0.68856883,0.615510404,0.43623364,0.464363784,0,0,0,0,0,0,0,0,0,0,0.319067836,0,0,1190.884033,1846.545044
